CODIGO;DISTRITO;DEPARTAMENTO;MUNICIPIO;ESTABLECIMIENTO;DIRECCION;TELEFONO;SUPERVISOR;DIRECTOR;NIVEL;SECTOR;AREA;STATUS;MODALIDAD;JORNADA;PLAN;DEPARTAMENTAL
10-01-0001-42;10-001;SUCHITEPEQUEZ;MAZATENANGO;EODP NO.1;11 CALLE FINAL ZONA 1, FRENTE INST. TECNICO INDUSTRIAL;58359230;RITA ELENA GONZALEZ GARCIA;;PARVULOS;OFICIAL;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);SUCHITEPÉQUEZ
10-01-0002-42;;SUCHITEPEQUEZ;MAZATENANGO;EPDP ANEXA A COLEGIO 'REPUBLICA DE GUATEMALA';3A AVE. 7A CALLE ZONA 1;;;;PARVULOS;PRIVADO;URBANA;CERRADA TEMPORALMENTE;MONOLINGUE;MATUTINA;DIARIO(REGULAR);SUCHITEPÉQUEZ
10-01-0003-42;10-018;SUCHITEPEQUEZ;MAZATENANGO;"COLEGIO ""FROEBEL""";11. CALLE FINAL ZONA 3 COLONIA SAN ANDRES;41341472;JUANA MARIA CIFUENTES PEREZ;LIGIA ALEJANDRA CIFUENTES GODOY DE LOPEZ;PARVULOS;PRIVADO;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);SUCHITEPÉQUEZ
10-01-0004-42;10-019;SUCHITEPEQUEZ;MAZATENANGO;INSTITUTO PRIVADO MIXTO TECNOLOGICO DEL SUROCCIDENTE;FINCA CHOJOJA;78722582-52932245;REYNA DEL ROSARIO CHAVEZ BARROW DE PACHECO;JOSE FELICIANO ESCOBAR MARTINEZ;PARVULOS;PRIVADO;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);SUCHITEPÉQUEZ
10-01-0005-42;10-019;SUCHITEPEQUEZ;MAZATENANGO;COLEGIO PRIVADO MIXTO LICEO MAZATECO;6A AVE. 2-21 ZONA 1;40281538;REYNA DEL ROSARIO CHAVEZ BARROW DE PACHECO;SANDRY ZIOMARA MANCIO MENDEZ;PARVULOS;PRIVADO;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);SUCHITEPÉQUEZ
10-01-0006-42;10-019;SUCHITEPEQUEZ;MAZATENANGO;"COLEGIO CIENTIFICO Y TECNOLOGICO ""BLAISE PASCAL""";1A AVE. SUR FINAL 12-70 ZONA 2;59809378;REYNA DEL ROSARIO CHAVEZ BARROW DE PACHECO;BRYAN JOE CALDERON ALBERTO;PARVULOS;PRIVADO;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);SUCHITEPÉQUEZ
10-01-0007-42;10-019;SUCHITEPEQUEZ;MAZATENANGO;COLEGIO PRIVADO MIXTO MARIA AUXILIADORA;3A AVE. 8-49 ZONA 1;56994611;REYNA DEL ROSARIO CHAVEZ BARROW DE PACHECO;;PARVULOS;PRIVADO;URBANA;CERRADA TEMPORALMENTE;MONOLINGUE;MATUTINA;DIARIO(REGULAR);SUCHITEPÉQUEZ
10-01-0009-42;;SUCHITEPEQUEZ;MAZATENANGO;EPDP ANEXA A COLEGIO EVANGELICO 'MODELO';10 AV Y 1A CALLE, BARRIO LA ESPERANZA;;;;PARVULOS;PRIVADO;URBANA;CERRADA TEMPORALMENTE;MONOLINGUE;MATUTINA;DIARIO(REGULAR);SUCHITEPÉQUEZ
10-01-0011-42;10-019;SUCHITEPEQUEZ;MAZATENANGO;"COLEGIO PRIVADO MIXTO ""PERPETUO SOCORRO""";1A CALLE 3-39 ZONA 1;78718090;REYNA DEL ROSARIO CHAVEZ BARROW DE PACHECO;MARÍA DEL CARMEN GARCÍA JORGE;PARVULOS;PRIVADO;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);SUCHITEPÉQUEZ
10-01-0012-42;10-018;SUCHITEPEQUEZ;MAZATENANGO;"COLEGIO PARTICULAR MIXTO ""LA ILUSTRACION""";3A AVE. 4-92 ZONA 1;78720044;JUANA MARIA CIFUENTES PEREZ;ANTONIO ROCHA RAMOS;PARVULOS;PRIVADO;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);SUCHITEPÉQUEZ
10-01-0013-42;10-019;SUCHITEPEQUEZ;MAZATENANGO;"COLEGIO PRIVADO MIXTO ""ESTHER CARRANZA""";3A AVE. 1-40 ZONA 2;78725047;REYNA DEL ROSARIO CHAVEZ BARROW DE PACHECO;;PARVULOS;PRIVADO;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);SUCHITEPÉQUEZ
10-01-0014-42;10-001;SUCHITEPEQUEZ;MAZATENANGO;EODP ANEXA A EOUM JUSTO RUFINO BARRIOS;FINAL AVENIDA DOLORES FRENTE A OBRAS PUBLICAS;52133642;RITA ELENA GONZALEZ GARCIA;;PARVULOS;OFICIAL;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);SUCHITEPÉQUEZ
10-01-0015-42;10-001;SUCHITEPEQUEZ;MAZATENANGO;EODP ANEXA A EOUM LOS ALMENDROS;COLONIA LOS ALMENDROS ZONA 2;41490024;RITA ELENA GONZALEZ GARCIA;;PARVULOS;OFICIAL;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);SUCHITEPÉQUEZ
10-01-0016-42;10-001;SUCHITEPEQUEZ;MAZATENANGO;EODP ANEXA A EOUM;9A. CALLE ZONA 3 COLONIA SAN ANDRES;78725949;RITA ELENA GONZALEZ GARCIA;;PARVULOS;OFICIAL;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);SUCHITEPÉQUEZ
10-01-0017-42;10-001;SUCHITEPEQUEZ;MAZATENANGO;EODP ANEXA A EOUM NO. 1 MARIA CHINCHILLA;1A. AVENIDA 0-03 ZONA 2 CANTÓN SANTA CRISTINA;55845924;RITA ELENA GONZALEZ GARCIA;NANCY PAOLA HIDALGO SOTO;PARVULOS;OFICIAL;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);SUCHITEPÉQUEZ
10-01-0018-42;10-001;SUCHITEPEQUEZ;MAZATENANGO;EODP ANEXA A EOUM BARRIO SAN BENITO;BARRIO SAN BENITO ZONA 3;78718218;RITA ELENA GONZALEZ GARCIA;;PARVULOS;OFICIAL;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);SUCHITEPÉQUEZ
10-01-0019-42;10-001;SUCHITEPEQUEZ;MAZATENANGO;EODP NO.2;5A. CALLE 3-98 ZONA 1;;RITA ELENA GONZALEZ GARCIA;;PARVULOS;OFICIAL;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);SUCHITEPÉQUEZ
10-01-0021-43;10-019;SUCHITEPEQUEZ;MAZATENANGO;INSTITUTO PRIVADO MIXTO TECNOLOGICO DEL SUROCCIDENTE;FINCA CHOJOJA;78718369;REYNA DEL ROSARIO CHAVEZ BARROW DE PACHECO;JOSE FELICIANO ESCOBAR MARTINEZ;PRIMARIA;PRIVADO;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);SUCHITEPÉQUEZ
10-01-0022-43;10-018;SUCHITEPEQUEZ;MAZATENANGO;"COLEGIO ""FROEBEL""";11 CALLE FINAL ZONA 3, COLONIA SAN ANDRES;41341472;JUANA MARIA CIFUENTES PEREZ;LIGIA ALEJANDRA CIFUENTES GODOY DE LOPEZ;PRIMARIA;PRIVADO;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);SUCHITEPÉQUEZ
